ID_Venta;ID_Tiempo;ID_Producto;ID_Cliente;ID_Tienda;Cantidad;Precio_Unitario;Descuento;Total_Venta
22213;312;22;303;3;2;3401825;0;6803650
15575;381;22;1534;3;2;3395912;0;6791824
21300;933;22;1205;3;2;3389918;0;6779836
25787;386;22;858;3;2;3382194;0;6764388
13997;1985;22;3063;1;2;3380001;0;6760002
36095;28;23;3265;3;8;844500;0;6756000
26590;238;23;2674;3;8;843104;0;6744832
37097;1380;22;1009;3;2;3368571;0;6737142
35044;1897;22;181;5;2;3364772;0;6729544
31515;1053;22;4354;2;2;3361980;0;6723960
36910;1445;21;2877;2;4;1977433;1186460;6723272
37009;1085;22;2191;2;2;3352100;0;6704200
15583;462;22;4300;3;2;3350375;0;6700750
5045;1321;21;2012;5;4;1673037;0;6692148
34912;1050;22;4184;4;2;3345090;0;6690180
31999;268;21;761;3;4;1672057;0;6688228
3159;1783;22;3918;1;2;3334506;0;6669012
28759;1058;22;1825;2;2;3327830;0;6655660
10948;2017;22;3585;2;2;3323126;0;6646252
9914;1282;22;4455;2;2;3321795;0;6643590
24188;1494;23;1956;5;6;1105613;0;6633678
1394;1090;22;4093;4;2;3312585;0;6625170
23455;1557;22;977;5;2;3312566;0;6625132
20026;871;24;;5;4;1654492;0;6617968
18893;1066;22;2376;5;2;3304501;0;6609002
17410;1052;104;4752;3;2;3301030;0;6602060
17889;1680;23;1482;5;6;1100283;0;6601698
14658;1465;24;1922;2;4;1649122;0;6596488
7328;1579;21;928;5;4;1648829;0;6595316
15264;1049;22;1737;2;2;3286999;0;6573998
38715;1023;22;968;3;2;3283428;0;6566856
3182;657;21;2869;4;4;1639518;0;6558072
11999;2039;22;2495;4;2;3277679;0;6555358
35660;707;22;4710;4;3;2731358;1638815;6555259
3099;20;24;1633;3;5;1541394;1156046;6550924
825;1131;22;49;2;2;3267566;0;6535132
16493;894;21;3147;5;4;1632172;0;6528688
17520;1056;23;4534;4;8;960037;1152044;6528252
18287;98;22;39;3;2;3255892;0;6511784
3100;984;24;3622;2;5;1301083;0;6505415
26228;1448;22;2470;3;2;3251225;0;6502450
31418;1767;22;246;4;2;3249140;0;6498280
8001;1537;22;2045;3;2;3233053;0;6466106
30002;1045;21;2805;2;4;1615718;0;6462872
9520;895;22;1400;5;2;3227073;desc;6454146
30506;339;22;2120;3;2;3225922;0;6451844
32888;269;24;690;3;4;1611692;0;6446768
13856;1876;24;1404;2;4;1611146;0;6444584
32493;1112;21;88;2;4;1888692;1133215;6421553
4088;1281;24;3212;1;5;1279735;0;6398675
34818;1062;24;4833;3;5;1504222;1128166;6392944
8814;779;22;1883;4;2;3363679;336368;6390990
30205;1878;22;1884;2;2;3190461;0;6380922
25302;1046;22;2657;2;2;3188932;0;6377864
1349;2154;22;1206;2;2;3187667;0;6375334
28937;1059;22;4765;5;3;2830835;2123126;6369379
21239;695;22;4579;4;2;3184077;0;6368154
13279;955;23;2310;5;6;1060849;0;6365094
23171;1660;21;4639;2;4;1766534;706614;6359522
14543;408;24;2670;3;4;1589758;0;6359032
26219;1067;24;4214;4;5;1271352;0;6356760
37298;233;24;3488;3;4;1588250;0;6353000
1410;1873;24;4169;3;5;1268821;0;6344105
21385;1153;24;2817;2;5;1268175;0;6340875
16376;451;22;2876;3;2;3168002;0;6336004
31177;1061;21;4026;4;3;2111341;0;6334023
7883;1148;22;2576;3;2;3164420;0;6328840
9691;2106;22;2102;1;2;3159366;0;6318732
3202;1069;22;2369;2;2;3158758;0;6317516
33793;156;22;918;3;2;3158638;0;6317276
29241;1068;22;3357;2;2;3152888;0;6305776
30948;176;23;1582;3;6;1105026;331508;6298648
31719;208;21;4174;3;4;1574068;0;6296272
23552;687;21;2779;4;3;2098521;0;6295563
8601;948;103;4468;2;2;3145520;0;6291040
6153;107;24;87;3;4;1571091;0;6284364
3718;174;21;4774;3;3;2094617;0;6283851
14941;1059;22;3695;5;2;3138667;0;6277334
39752;1115;22;1916;3;2;3137327;0;6274654
12284;948;21;576;2;3;2086739;0;6260217
2303;1074;22;131;3;3;2779906;2084930;6254788
15726;108;22;3904;3;2;3125702;0;6251404
27327;1067;22;1444;2;2;3287354;328735;6245973
12591;1905;24;1553;3;5;1248293;0;6241465
25220;1062;21;286;2;3;2077399;0;6232197
29325;1281;22;2350;4;2;3113415;0;6226830
26116;123;21;2186;3;3;2074397;0;6223191
34867;689;21;868;4;3;2073685;0;6221055
38780;978;24;4476;4;4;1554954;0;6219816
25106;2069;22;1266;5;2;3107681;0;6215362
39887;714;22;1793;4;2;3102088;0;6204176
24328;129;23;4148;3;6;1033697;0;6202182
14836;987;103;4240;4;2;3180040;159000;6201080
1621;1049;21;4579;5;3;2066288;0;6198864
21752;1171;22;3049;5;2;3096613;0;6193226
17340;33;21;4001;3;3;2064223;0;6192669
14463;549;22;775;3;2;3091504;0;6183008
35908;1293;21;2049;4;3;2060707;0;6182121
4419;766;21;3735;4;3;2059639;0;6178917
38368;673;21;2286;4;3;2059493;0;6178479
25605;1554;22;1411;5;2;3075988;0;6151976
32604;393;21;929;3;3;2050631;0;6151893
25174;919;22;1186;3;2;3075153;0;6150306
27442;1089;22;2101;3;2;3071399;0;6142798
37637;814;22;3302;3;2;3071314;0;6142628
26977;1506;21;666;3;3;2045844;0;6137532
5382;1070;21;1045;5;3;2042992;0;6128976
33653;975;22;1592;2;2;3061115;0;6122230
8869;1382;21;3924;1;3;2038293;0;6114879
29384;2047;22;155;4;2;3056634;0;6113268
19008;1460;21;764;3;3;2036491;0;6109473
21809;335;22;4318;3;2;3053924;0;6107848
19590;1616;22;1060;1;2;3049801;0;6099602
32472;653;22;4576;4;2;3045238;0;6090476
34490;1057;21;184;2;3;2028640;0;6085920
20513;2171;22;4614;4;2;3202269;320227;6084311
8939;880;21;1773;4;3;2027941;0;6083823
14199;1546;24;2872;2;4;1519712;0;6078848
12916;1067;21;1485;3;3;2020298;0;6060894
32193;1031;21;2359;5;3;2018674;0;6056022
7323;1058;22;1832;3;2;3020263;0;6040526
31996;1168;22;3846;3;2;3012363;0;6024726
7171;1058;22;815;3;2;3011066;0;6022132
38157;1062;21;2623;4;3;2007346;0;6022038
3906;1059;22;4062;3;2;3008903;0;6017806
23358;4;22;2837;3;2;3161161;316116;6006206
33847;362;24;2455;3;4;1579207;315841;6000987
33079;297;21;3488;3;3;1999626;0;5998878
4194;1561;21;4927;4;3;1998703;0;5996109
35361;1069;22;3899;3;2;3328166;665633;5990699
19379;651;22;2076;4;2;2990753;0;5981506
15538;1394;22;3301;4;2;2985618;0;5971236
307;1081;22;3623;2;2;2984466;0;5968932
27434;1449;22;3690;4;2;2974211;0;5948422
5939;539;22;3184;3;2;2966425;0;5932850
6413;1858;21;1773;2;3;1976647;0;5929941
38528;1970;22;2938;5;2;2963438;0;5926876
37268;263;21;4353;3;3;1972885;0;5918655
21833;818;22;141;4;2;2952782;0;5905564
12743;1061;21;2826;4;3;1967413;0;5902239
128;1863;22;1531;3;2;2948157;0;5896314
35219;1654;22;3418;1;2;2946174;0;5892348
33526;1310;22;3636;5;2;2938397;0;5876794
21033;488;24;987;3;4;1466375;0;5865500
36820;1385;22;1294;2;2;2929013;0;5858026
10647;1928;24;109;2;4;1463193;0;5852772
13955;2097;24;1412;1;4;1462922;0;5851688
25246;547;22;789;3;2;2925635;0;5851270
38241;788;22;3147;4;2;2925128;0;5850256
32937;1078;24;3154;2;5;1299708;649854;5848686
18536;1073;22;2596;2;2;2919477;0;5838954
35536;778;22;2897;4;2;2917924;0;5835848
13555;1732;24;1755;1;4;1458459;0;5833836
36397;1062;23;673;2;6;1078618;647171;5824537
26837;369;21;4920;3;3;1940148;0;5820444
17271;1063;21;989;5;3;1939248;0;5817744
11461;535;22;741;3;2;2907772;0;5815544
39816;1890;21;904;1;3;1937472;0;5812416
32008;1504;24;832;2;4;1452461;0;5809844
8835;2051;22;3994;4;2;2902945;0;5805890
14124;802;24;2042;4;5;1658548;2487822;5804918
17282;812;22;830;4;3;2758524;2482672;5792900
16759;1088;21;1105;4;3;1928951;0;5786853
49;1141;22;3987;3;2;2888207;0;5776414
26967;2026;22;4328;1;2;2877646;0;5755292
38096;331;22;1891;3;2;2875520;0;5751040
20161;1298;22;3772;2;2;2871876;0;5743752
23831;979;21;2824;5;3;1912578;0;5737734
22940;925;22;324;5;2;2868458;0;5736916
768;1893;24;3544;5;4;1429209;0;5716836
10725;1487;22;937;2;2;2856484;0;5712968
14881;1769;21;4258;2;3;1902955;0;5708865
39838;131;22;1672;3;2;2853317;0;5706634
13563;1269;22;1144;2;2;2846686;0;5693372
4694;1092;22;4929;5;2;2844676;0;5689352
23387;273;22;2431;3;2;3156023;631205;5680841
1525;1060;22;3370;2;2;2840262;0;5680524
36356;1058;21;3486;2;3;1892854;0;5678562
22673;641;22;2985;4;2;2838659;0;5677318
15673;442;22;973;3;2;2838570;0;5677140
31582;1312;22;4281;5;2;2986722;298672;5674772
19241;1463;21;3496;2;3;1888053;0;5664159
23697;1670;21;4179;3;3;1887676;0;5663028
1433;1061;22;2406;3;2;2830953;0;5661906
2594;1091;21;1375;2;3;1885299;0;5655897
31497;1059;22;3327;5;2;2827765;0;5655530
31277;735;23;2174;4;6;939812;0;5638872
3088;36;24;2252;3;4;1656568;993941;5632331
26461;1055;21;1358;3;3;1875079;0;5625237
7864;1331;23;627;3;5;1124498;0;5622490
33316;879;21;2583;5;3;1868147;0;5604441
7425;1051;24;4121;2;5;1400255;1400255;5601020
26916;1691;24;999;4;4;1399207;0;5596828
16927;381;21;3961;3;3;1863598;0;5590794
22616;530;21;2924;3;3;1960944;294142;5588690
24230;52;22;820;3;2;2793229;0;5586458
17573;1222;22;4421;2;2;3098912;619782;5578042
28216;1073;23;1324;4;5;1114904;0;5574520
18622;1323;22;3459;1;2;2780906;0;5561812
27424;1108;24;449;2;4;1389531;0;5558124
2817;1067;21;1187;2;3;1851598;0;5554794
27749;1863;11;634;2;3;1850540;0;5551620
14925;1073;24;216;2;4;1385997;0;5543988
3429;1864;21;313;2;3;2050022;615007;5535059
25066;632;22;1684;4;2;2764912;0;5529824
31236;93;21;4947;3;;1842140;0;5526420
5318;2087;21;1749;1;3;1841599;0;5524797
3581;1058;23;2477;2;6;1022617;613570;5522132
18929;56;21;328;3;3;1833382;0;5500146
25373;940;22;3174;3;2;2745758;0;5491516
27239;1065;22;2735;4;2;3047974;609595;5486353
21820;2053;22;4159;2;2;2742786;0;5485572
6544;609;21;4079;3;4;1765347;1588812;5472576
34637;578;21;742;3;3;1822450;0;5467350
18896;1424;22;2284;4;2;2874199;287420;5460978
17259;1748;22;3365;4;2;2728828;0;5457656
24660;272;22;4618;3;2;2725570;0;5451140
23797;744;26;308;4;10;544245;0;5442450
17019;1507;83;4593;4;2;2715010;0;5430020
32641;1045;23;441;2;5;1085696;0;5428480
12269;1291;23;5000;1;5;1082944;0;5414720
27630;626;24;1920;4;4;1353045;0;5412180
8311;1055;24;308;5;4;1350571;0;5402284
30596;1065;24;1025;5;4;1350245;0;5400980
35484;1614;23;422;3;6;899363;0;5396178
10158;522;21;4589;3;3;1798218;0;5394654
19568;1547;26;1878;2;10;567274;283637;5389103
32284;1463;25;149;4;10;538828;0;5388280
17055;1074;24;2466;2;4;1416009;283202;5380834
7350;2044;21;2808;3;3;1793193;0;5379579
22786;592;24;2505;3;4;1344199;0;5376796
13471;354;22;3767;3;2;2825819;282582;5369056
15632;1048;23;688;3;5;1073019;0;5365095
2048;1508;21;2424;3;3;1786838;0;5360514
8505;349;22;3383;3;3;3061052;3826315;5356841
32637;1084;24;4002;3;4;1337281;0;5349124
37589;1929;21;2606;1;3;1778937;0;5336811
5495;1054;24;1976;4;4;1333465;0;5333860
14499;779;22;3259;4;2;3333104;1333242;5332966
33790;855;21;970;5;3;1777450;0;5332350
25507;1595;21;2569;4;3;1776089;0;5328267
310;614;23;1161;4;8;883767;1767534;5302602
17298;1766;21;3101;2;4;1766634;1766634;5299902
32386;1055;21;1626;5;3;1765427;0;5296281
33103;1303;21;2373;2;3;1954738;586421;5277793
4972;1943;21;3598;4;3;1756281;0;5268843
2867;1082;24;2434;2;4;1316957;0;5267828
39871;498;87;2825;3;4;1315280;0;5261120
3765;1063;22;4297;4;2;2921420;584284;5258556
16583;1423;21;761;4;3;1751638;0;5254914
18599;1497;12;908;4;5;1055710;26395;5252155
39656;410;21;318;3;3;1749596;0;5248788
12901;1916;23;4389;4;8;934566;2242958;5233570
11234;1332;21;4968;4;3;1742702;0;5228106
14625;1048;21;2668;2;3;1739600;0;5218800
33410;2029;24;4440;2;4;1302563;0;5210252
27692;1769;10;1831;4;3;1734050;0;5202150
1252;1057;23;607;5;6;911755;273526;5197004
23428;1108;87;2422;2;4;1298820;0;5195280
8623;1069;21;1795;4;3;1729815;0;5189445
22860;1335;25;2837;5;10;546086;273043;5187817
21918;2012;23;1953;5;5;1035357;0;5176785
25617;242;22;489;3;2;2874376;574875;5173877
30959;1439;22;4963;3;2;3449197;1724598;5173796
28676;1068;21;1633;4;3;1722566;0;5167698
7729;2027;21;2246;1;4;1612053;1289642;5158570
10932;838;23;3689;4;5;1031482;0;5157410
30912;1413;21;4756;2;3;1718012;0;5154036
17726;2020;21;1384;1;3;1711008;0;5133024
34243;871;21;2548;5;3;1708002;0;5124006
3788;1048;21;2207;5;3;1707763;0;5123289
27166;2137;21;31;5;4;1707518;1707518;5122554
34755;1074;22;4821;4;2;2840689;568138;5113240
31633;167;22;1143;3;2;3181524;1272610;5090438
8413;788;21;2422;4;3;2115469;1269281;5077126
18003;1052;25;3870;2;10;507509;0;5075090
18757;503;23;2644;3;5;1014903;0;5074515
13732;725;24;1285;3;4;1267359;0;5069436
32387;2130;23;1593;1;6;844601;0;5067606
38295;779;21;4401;4;3;1876433;562930;5066369
21508;1482;21;936;2;3;1688475;0;5065425
34987;385;21;1762;3;3;1680056;0;5040168
30725;1773;23;3883;2;6;839116;0;5034696
4871;863;24;4802;3;4;1257000;0;5028000
11193;463;23;3287;3;5;1005519;0;5027595
2662;1901;23;1512;3;5;1003980;0;5019900
4218;1066;22;4321;2;2;3134170;1253668;5014672
27859;1206;22;4206;1;2;2785554;557111;5013997
28809;2169;21;1878;1;3;1758435;263765;5011540
23595;1070;21;4226;5;3;1667192;0;5001576
2256;1200;21;658;1;3;1658574;0;4975722
28989;36;24;2446;3;5;1419108;2128662;4966878
8769;902;21;2533;5;3;1654527;0;4963581
35100;366;23;4446;3;5;989484;0;4947420
36545;61;24;3005;3;3;1647021;0;4941063
4057;1768;24;2456;4;3;1645646;0;4936938
20485;1812;24;1814;2;3;1644185;0;4932555
4229;1049;24;;4;3;1634292;0;4902876
21540;1766;24;3784;5;3;1633288;0;4899864
16212;227;21;4459;3;3;1631240;0;4893720
35622;1986;22;4215;1;2;3255014;1627507;4882521
37921;256;24;4493;3;3;1626877;0;4880631
12804;113;24;3018;3;3;1618478;0;4855434
14606;1850;21;1383;4;3;1615272;0;4845816
1236;831;21;3217;4;3;1612126;0;4836378
13932;1934;22;3860;1;2;3019100;1207640;4830560
19618;656;24;3974;4;4;1509194;1207355;4829421
3077;2058;21;838;5;3;2008500;1205100;4820400
36752;802;24;1789;4;3;1605142;0;4815426
3045;1578;24;4007;1;3;1605114;0;4815342
29204;793;26;1303;4;10;480925;0;4809250
13510;1249;24;3309;5;3;1597876;0;4793628
2467;894;24;4697;3;4;1597753;1597753;4793259
10186;1064;24;2486;5;3;1594407;0;4783221
11777;288;21;3619;3;3;1768398;530519;4774675
31651;1901;24;2563;2;3;1591104;0;4773312
274;1979;21;1479;3;3;1587820;0;4763460
22840;219;22;745;3;2;3171318;1585659;4756977
4811;386;24;449;3;3;1582422;0;4747266
17307;387;24;2634;3;3;1580704;0;4742112
19558;151;21;2805;3;3;1974307;1184584;4738337
37799;1069;22;1233;4;2;3379967;2027980;4731954
6756;1022;24;3939;2;3;1571369;0;4714107
5895;1048;24;4659;4;3;1567684;0;4703052
32638;1478;24;3111;1;3;1555274;0;4665822
10817;1924;22;631;3;2;3105942;1552971;4658913
38937;1063;21;4549;2;3;1632899;244935;4653762
19554;1011;24;3855;2;3;1549308;0;4647924
26500;2046;24;1695;5;3;1543201;0;4629603
11718;1491;22;2670;2;2;2889226;1155690;4622762
26627;1892;21;3732;4;3;1809913;814461;4615278
16198;121;24;2245;3;3;1534088;0;4602264
20611;821;23;107;4;6;1091598;desc;4584712
29011;2123;24;991;2;3;1527651;0;4582953
12479;617;24;99;4;3;1526511;0;4579533
30233;1784;10;4625;1;3;1546500;69590;4569910
3119;561;24;467;3;3;1520119;0;4560357
30433;443;24;197;3;4;1623984;1948781;4547155
32687;129;24;3241;3;3;1513050;0;4539150
35372;1581;21;3561;2;3;1876045;1125627;4502508
21555;1000;21;3592;2;3;1765308;794389;4501535
34280;1227;23;3946;3;6;880689;792620;4491514
2757;1051;23;3119;5;5;945563;236391;4491424
34890;374;24;1613;3;3;1496080;0;4488240
4489;1678;25;4183;5;10;448269;0;4482690
33747;1571;23;4703;3;4;1117620;0;4470480
17389;1676;22;695;3;2;3192043;1915226;4468860
6189;307;24;4986;3;3;1485797;0;4457391
21825;673;23;378;3;4;1107045;0;4428180
15732;1688;24;2301;4;3;1473886;0;4421658
290;1245;24;3335;3;3;1469724;0;4409172
38840;1475;24;4878;4;3;1468675;0;4406025
11890;901;24;1916;5;3;1623339;487002;4383015
39558;866;21;4124;3;3;1947620;1460715;4382145
10687;1037;26;1806;3;8;546636;0;4373088
28218;1088;24;2152;2;3;1457481;0;4372443
20551;1176;22;681;4;2;3122939;1873763;4372115
24891;1536;23;1101;4;4;1089227;0;4356908
8123;266;21;1316;3;3;2072442;1865198;4352128
11921;1779;23;3513;1;5;869754;0;4348770
725;1206;25;2783;2;8;543106;0;4344848
35282;1227;24;604;5;3;1444403;0;4333209
1348;837;24;3051;4;3;1443386;0;4330158
32671;226;21;675;3;3;1920013;1440010;4320029
26109;1278;21;4662;3;3;1916041;1437031;4311092
17855;200;22;1465;3;2;2860271;1430136;4290406
10484;552;22;4274;3;-2;2849884;1424942;4274826
8655;838;23;2377;3;4;1068272;0;4273088
544;1435;23;4679;3;4;1068176;0;4272704
24801;1072;23;1666;4;6;1017279;1831102;4272572
3171;1396;23;1312;4;4;1068049;0;4272196
29404;2134;24;2650;4;3;1422969;0;4268907
9762;334;26;277;3;8;592655;474124;4267116
26025;357;24;3794;3;3;1422309;0;4266927
17035;1058;24;1220;3;3;1419605;0;4258815
23904;133;21;2945;3;2;2125937;0;4251874
14280;1193;24;4585;1;4;1414305;1414305;4242915
31047;397;24;2169;3;3;1413631;0;4240893
32733;1212;21;3461;1;3;1883346;1412510;4237528
15029;1061;21;2049;2;2;2118252;0;4236504
15250;615;24;3431;4;3;1481144;222172;4221260
22502;246;21;1794;3;2;2106334;0;4212668
432;1634;21;3557;3;2;2098263;0;4196526
6787;2039;23;3816;5;4;1048904;0;4195616
1017;402;24;143;3;3;1472033;220805;4195294
27266;392;25;4264;3;8;524381;0;4195048
27499;2139;21;4399;2;2;2095713;0;4191426
15178;658;21;557;4;2;2093203;0;4186406
17394;1687;21;64;2;2;2091027;0;4182054
24531;1047;21;2416;4;2;2089479;0;4178958
39896;1562;24;3735;2;3;1390726;0;4172178
37447;1721;21;2566;5;2;2081100;0;4162200
32270;1056;21;3197;2;2;2076208;0;4152416
34268;528;22;2423;3;2;2767983;1383992;4151974
5170;1652;21;1089;5;2;2075750;0;4151500
30379;975;24;1575;5;3;1383130;0;4149390
8617;2085;11;3497;1;2;2180480;218050;4142910
2616;228;21;428;3;2;2069051;0;4138102
31563;192;22;3358;3;3;2754707;4132060;4132061
5422;704;23;1656;4;4;1032923;0;4131692
16139;2053;25;3890;4;10;550215;1375538;4126612
16693;1683;24;1839;2;3;1373572;0;4120716
27673;1527;24;1279;3;4;1369172;1369172;4107516
16632;1281;21;4943;1;2;2051423;0;4102846
6988;1052;21;870;5;2;2047995;0;4095990
12626;542;21;1521;3;2;2037232;0;4074464
3636;1060;24;4949;3;3;1356316;0;4068948
39732;1871;21;2066;5;2;2033886;0;4067772
18315;2030;21;3574;3;3;1594937;717722;4067089
18573;310;21;4848;3;2;2030465;0;4060930
14872;942;23;3990;2;6;961260;1730268;4037292
1268;1057;24;4246;4;3;1345721;0;4037163
20847;1751;24;3281;2;3;1341789;0;4025367
10054;928;23;2893;5;4;1006323;0;4025292
11508;366;23;2199;3;4;1005753;0;4023012
23212;583;23;2833;3;4;N/A;0;4018384
4181;912;21;3224;5;2;2001717;0;4003434
34435;1064;21;4629;2;3;1778519;1333889;4001668
12646;932;21;711;5;2;1999407;0;3998814
9116;1054;24;1887;2;3;1332860;0;3998580
4523;1926;21;2910;1;2;1998588;0;3997176
6058;1062;24;3250;3;3;1332264;0;3996792
15318;525;21;3144;3;2;1997440;0;3994880
13911;1840;24;1026;4;3;1475503;442651;3983858
19024;2029;23;3771;2;4;994936;0;3979744
28666;703;21;4127;4;2;1986399;0;3972798
519;2153;23;1600;3;4;990291;0;3961164
21279;465;21;4452;3;3;1885251;1696726;3959027
1086;1050;21;4718;2;2;1979251;0;3958502
17534;1963;23;1612;1;4;984351;0;3937404
27672;1786;23;476;4;4;983974;0;3935896
29449;84;24;2979;3;4;1405573;1686688;3935604
22715;117;22;1434;3;2;2809096;1685458;3932734
24757;449;21;2735;3;2;1965984;0;3931968
31685;17;23;2022;3;4;981310;0;3925240
26831;1941;24;1307;3;3;1306443;0;3919329
7197;297;21;2284;3;2;1954122;0;3908244
28226;1277;21;901;1;2;1953744;0;3907488
13986;856;25;3364;5;8;488368;0;3906944
14382;1234;23;3055;2;4;974407;0;3897628
8385;583;21;2545;3;4;1947522;3895044;3895044
36689;645;24;3752;3;-3;1295485;0;3886455
31119;1072;21;1254;4;2;1942440;0;3884880
11707;2065;24;2478;2;3;1294507;0;3883521
7830;212;21;3705;3;2;2043085;204308;3881862
700;1057;21;22;3;2;1940463;0;3880926
10783;1988;24;103;4;3;1287978;0;3863934
5649;1326;21;3596;1;2;1931108;0;3862216
10667;9;21;2357;3;3;1716399;1287299;3861898
19668;282;23;975;3;5;1101402;1652103;3854907
29677;444;101;1318;3;3;1283130;0;3849390
389;1609;21;474;3;2;1923286;0;3846572
12519;965;23;3808;4;4;961353;0;3845412
12364;107;23;792;3;4;955919;0;3823676
28574;1059;24;3477;2;3;1497381;673821;3818322
6927;913;24;303;4;3;1339259;200889;3816888
1743;1653;23;3950;3;4;952838;0;3811352
16756;1346;21;2780;1;3;1692564;1269423;3808269
4718;2173;21;2521;3;2;2115659;423132;3808186
26772;1425;21;1641;2;2;1902796;0;3805592
16711;1587;24;1031;2;3;1266632;0;3799896
32231;881;23;2591;5;5;948058;948058;3792232
12812;1249;21;2344;3;2;2105545;421109;3789981
1289;66;23;2609;3;4;946534;0;3786136
7552;927;24;2324;2;3;1400275;420080;3780745
3148;1423;21;1643;1;2;1886037;0;3772074
38640;1563;21;672;4;2;1885933;0;3771866
36295;1055;26;4964;2;8;470370;0;3762960
19219;1328;21;2120;3;3;1790018;1611016;3759038
24165;1133;21;1205;3;2;1878086;0;3756172
10056;1055;24;535;2;3;1251551;0;3754653
39932;2086;21;3309;5;2;1872942;0;3745884
31165;1801;23;2017;2;5;1069551;1604326;3743429
25568;1010;23;1636;2;4;933798;0;3735192
2574;1055;24;93;2;3;1244521;0;3733563
35632;523;21;2587;3;2;1861606;0;3723212
30195;1375;21;4085;5;2;1857077;0;3714154
15005;413;24;809;3;4;1233829;1233829;3701487
28113;1458;23;4909;4;4;921171;0;3684684
31453;1591;25;410;3;8;459062;0;3672496
9145;1570;23;1671;4;4;917659;0;3670636
15552;698;25;941;4;8;458242;0;3665936
31785;1134;23;1378;3;4;915482;0;3661928
38325;1053;21;1857;2;2;1829497;0;3658994
29385;1152;24;4054;3;3;1280045;192007;3648128
7548;570;25;3467;3;10;520332;1560996;3642324
10621;806;23;2672;4;4;909572;0;3638288
10857;1510;24;1171;3;3;1612602;1209452;3628354
14076;1343;21;4158;4;2;1811672;0;3623344
23695;1490;21;2214;2;2;1810236;0;3620472
17585;732;21;1012;4;2;1809081;0;3618162
17519;2025;21;4830;4;2;1808744;0;3617488
