ID_Producto;Nombre_Producto;Categoria;Subcategoria;Marca
61;Gatorade 600ml;Bebidas;Isotónicas;Gatorade
62;Red Bull 250ml;Bebidas;Energizantes;Red Bull
63;Té Helado 500ml;Bebidas;Tés;Arizona
64;Agua de Coco 330ml;Bebidas;Jugos;Coco Real
65;Shampoo 400ml;Aseo Personal;Cabello;Head & Shoulders
66;Acondicionador 400ml;Aseo Personal;Cabello;Pantene
67;Jabón Líquido 250ml;Aseo Personal;Cuerpo;Dove
68;Desodorante Spray;Aseo Personal;Desodorantes;Rexona
69;Crema Dental 150g;Aseo Personal;Dental;Colgate
70;Cepillo de Dientes;Aseo Personal;Dental;Oral-B
71;Bloqueador Solar 120ml;Belleza;Cuidado Piel;Eucerin
72;Crema Corporal 400ml;Belleza;Cuidado Piel;Nivea
73;Máquina de Afeitar;Aseo Personal;Afeitado;Gillette
74;Espuma de Afeitar 200ml;Aseo Personal;Afeitado;Gillette
75;Detergente Ariel 3kg;Aseo Hogar;Lavandería;Ariel
76;Suavizante 1L;Aseo Hogar;Lavandería;Downy
77;Limpiapisos 1L;Aseo Hogar;Limpieza;Fabuloso
78;Desengrasante 500ml;Aseo Hogar;Limpieza;Ajax
79;Papel Higiénico x12;Aseo Hogar;Papel;Familia
80;Toallas de Cocina x2;Aseo Hogar;Papel;Scott
81;Bolsas Basura x20;Aseo Hogar;Desechables;Familia
82;Esponja Doble Uso x2;Aseo Hogar;Limpieza;Scotch-Brite
83;Audífonos Inalámbricos;Electrónica;Audio;Sony
84;Cargador USB-C 25W;Electrónica;Accesorios;Samsung
85;Cable HDMI 2m;Electrónica;Cables;Ugreen
86;Mouse Inalámbrico;Electrónica;Periféricos;Logitech
87;Teclado Bluetooth;Electrónica;Periféricos;Logitech
88;Lámpara LED Escritorio;Electrónica;Iluminación;Philips
89;Power Bank 10000mAh;Electrónica;Accesorios;Anker
90;Funda para Celular;Electrónica;Accesorios;Spigen
91;Juego de Sábanas Q;Hogar;Ropa de Cama;SpringBed
92;Almohada Fibra;Hogar;Ropa de Cama;Cannon
93;Toalla de Baño;Hogar;Baño;Artex
94;Set Vasos x6;Hogar;Menaje;Luminarc
95;Sartén Antiadherente;Hogar;Cocina;Tefal
96;Olla a Presión 4L;Hogar;Cocina;Imusa
97;Organizador Cajón;Hogar;Organización;IKEA
98;Cesto Ropa Sucia;Hogar;Baño;Rimax
99;Camiseta Básica Hombre;Ropa;Camisetas;Totto
100;Jean Slim Mujer;Ropa;Pantalones;Studio F
101;Buzo Hoodie;Ropa;Ropa Abrigo;Adidas
102;Calcetines x3;Ropa;Ropa Interior;Punto Blanco
103;Tenis Casual;Calzado;Tenis;Nike
104;Zapatillas Running;Calzado;Running;Adidas
105;Sandalias;Calzado;Sandalias;Crocs
106;Colchoneta Yoga;Deportes;Fitness;Buen Cuerpo
107;Mancuernas 5kg par;Deportes;Fitness;Athletic Works
108;Cuerda para Saltar;Deportes;Fitness;Athletic Works
109;Termo 1L;Deportes;Accesorios;Quechua
110;Lego Classic 500pz;Juguetes;Construcción;LEGO
111;Muñeca Articulada;Juguetes;Muñecas;Barbie
112;Carrito de Colección;Juguetes;Vehículos;Hot Wheels
113;Rompecabezas 1000pz;Juguetes;Educativos;Ravensburger
114;Juego de Mesa Monopolio;Juguetes;Juegos Mesa;Hasbro
115;Resma Papel Carta 500h;Papelería;Papel;Chamex
116;Esfero Azul x12;Papelería;Escritura;BIC
117;Cuaderno Universitario;Papelería;Cuadernos;Norma
118;Marcadores x8 colores;Papelería;Escritura;Stabilo
119;Pegante en Barra;Papelería;Adhesivos;UHU
